database,year,title,authors,type,journal_or_source,volume,issue,pages,doi,url,other_urls,query
Crossref,1938,<i>The Great Chain of Being</i>. Arthur O. Lovejoy,,journal-article,Isis,28,2,537-540,10.1086/347375,https://doi.org/10.1086/347375,,Arthur O. Lovejoy
Crossref,1942,On The Criteria and Limits of Meaning,Arthur O. Lovejoy,book-chapter,Philosophical Essays,,,3-23,10.9783/9781512815245-002,https://doi.org/10.9783/9781512815245-002,,Arthur O. Lovejoy
Crossref,1931,<i>The Revolt against Dualism</i>. Arthur O. Lovejoy,H. T. Davis,journal-article,Isis,15,1,190-193,10.1086/346554,https://doi.org/10.1086/346554,,Arthur O. Lovejoy
Crossref,1963,<i>Reflections on Human Nature</i> by Arthur O. Lovejoy,James Doolittle,journal-article,South Atlantic Quarterly,62,1,148-149,10.1215/00382876-62-1-148,https://doi.org/10.1215/00382876-62-1-148,,Arthur O. Lovejoy
Crossref,1949,<i>Essays in the History of Ideas</i>. Arthur O. Lovejoy,Harry Levin,journal-article,Isis,40,1,85-87,10.1086/349023,https://doi.org/10.1086/349023,,Arthur O. Lovejoy
Crossref,1930,The Revolt against Dualism <i>By Arthur O. Lovejoy</i>,,journal-article,Parnassus,2,7,40-40,10.1080/15436314.1930.11666362,https://doi.org/10.1080/15436314.1930.11666362,,Arthur O. Lovejoy
Crossref,1963,Arthur O. Lovejoy and the History of Ideas,John Herman Randall,journal-article,Philosophy and Phenomenological Research,23,4,475,10.2307/2104513,https://doi.org/10.2307/2104513,,Arthur O. Lovejoy
Crossref,1937,<i>The Great Chain of Being</i>. Arthur O. Lovejoy,H. T. Davis,journal-article,Isis,27,1,111-114,10.1086/347235,https://doi.org/10.1086/347235,,Arthur O. Lovejoy
Crossref,1936,"<i>A Documentary History of Primitwism and Related Ideas</i>. General Editors, <scp>Arthur O. Lovejoy, Gilbert Chinard, George Boas, Ronald S. Crane</scp>. Volume I, <i>Primitwism and Related Ideas in Antiquity</i>. By <scp>Arthur O. Lovejoy, George Boas</scp>, <scp>Ronald S. Crane</scp>. Volume I, <i>Primitwism and Related Ideas in Antiquity</i>. By <scp>Arthur O. Lovejoy, George Boas</scp>. With Supplementary Essays by <scp>W. F. Albright</scp> and <scp>P. E. Dumont</scp>. (Baltimore: Johns Hopkins Press. 1935. Pp. xv, 482. $5.00.)",R. K. Hack,journal-article,The American Historical Review,41,4,728-730,10.1086/ahr/41.4.728,https://doi.org/10.1086/ahr/41.4.728,,Arthur O. Lovejoy
Crossref,1948,Arthur O. Lovejoy and the Theory of Historiography,Maurice Mandelbaum,journal-article,Journal of the History of Ideas,9,4,412,10.2307/2707214,https://doi.org/10.2307/2707214,,Arthur O. Lovejoy
Crossref,1951,Essays in the History of Ideas by Arthur O. Lovejoy,A. J. McNicholl,journal-article,The Thomist: A Speculative Quarterly Review,14,3,407-412,10.1353/tho.1951.0016,https://doi.org/10.1353/tho.1951.0016,,Arthur O. Lovejoy
Crossref,1963,The Philosophical Method of Arthur O. Lovejoy: Critical Realism and Psychoanalytical Realism,Lewis S. Feuer,journal-article,Philosophy and Phenomenological Research,23,4,493,10.2307/2104515,https://doi.org/10.2307/2104515,,Arthur O. Lovejoy
Crossref,1937,Book Review:The Great Chain of Being: A Study of the History of an Idea. Arthur O. Lovejoy,Scott Buchanan,journal-article,Ethics,47,4,486,10.1086/208409,https://doi.org/10.1086/208409,,Arthur O. Lovejoy
Crossref,1931,<i>The Revolt Against Dualism</i>. Arthur O. Lovejoy,Arthur E. Murphy,journal-article,The International Journal of Ethics,41,2,265-267,10.1086/intejethi.41.2.2377919,https://doi.org/10.1086/intejethi.41.2.2377919,,Arthur O. Lovejoy
Crossref,1951,<i>Essays in the History of Ideas</i>. Arthur O. Lovejoy,James Luther Adams,journal-article,The Journal of Religion,31,1,56-58,10.1086/484075,https://doi.org/10.1086/484075,,Arthur O. Lovejoy
Crossref,1931,What Is Knowledge?<i>The Revolt against Dualism</i>. Arthur O. Lovejoy,Henry Nelson Wieman,journal-article,The Journal of Religion,11,2,303-304,10.1086/481061,https://doi.org/10.1086/481061,,Arthur O. Lovejoy
Crossref,1949,<i>Essays in the History of Ideas</i>. Arthur O. Lovejoy,Crane Brinton,journal-article,The Journal of Modern History,21,4,344-345,10.1086/237298,https://doi.org/10.1086/237298,,Arthur O. Lovejoy
Crossref,1943,"Arthur O. Lovejoy. On the criteria and limits of meaning. Philosophical essays in honor of Edgar Arthur Singer, Jr., edited by F. P. Clarke and M. C. Nahm, University of Pennsylvania Press, Philadelphia1942, pp. 3–23.",Ernest Nagel,journal-article,Journal of Symbolic Logic,8,3,87-87,10.2307/2266386,https://doi.org/10.2307/2266386,,Arthur O. Lovejoy
